date,value
2021-01-01,67.0
2021-01-02,74.0
2021-01-03,68.0
2021-01-04,64.0
2021-01-05,56.0
2021-01-06,57.0
2021-01-07,71.0
2021-01-08,89.0
2021-01-09,100.0
2021-01-10,96.0
2021-01-11,86.0
2021-01-12,80.0
2021-01-13,85.0
2021-01-14,78.0
2021-01-15,78.0
2021-01-16,72.0
2021-01-17,82.0
2021-01-18,65.0
2021-01-19,70.0
2021-01-20,52.0
2021-01-21,48.0
2021-01-22,46.0
2021-01-23,47.0
2021-01-24,59.0
2021-01-25,46.0
2021-01-26,47.0
2021-01-27,38.0
2021-01-28,45.0
2021-01-29,36.0
2021-01-30,40.0
2021-01-31,48.0
2021-02-01,26.0
2021-02-02,33.0
2021-02-03,29.0
2021-02-04,38.0
2021-02-05,35.0
2021-02-06,36.0
2021-02-07,33.0
2021-02-08,26.0
2021-02-09,29.0
2021-02-10,23.0
2021-02-11,16.0
2021-02-12,11.0
2021-02-13,17.0
2021-02-14,26.0
2021-02-15,26.0
2021-02-16,26.0
2021-02-17,24.0
2021-02-18,25.0
2021-02-19,22.0
2021-02-20,29.0
2021-02-21,17.0
2021-02-22,24.0
2021-02-23,24.0
2021-02-24,21.0
2021-02-25,26.0
2021-02-26,14.0
2021-02-27,27.0
2021-02-28,24.0
2021-03-01,20.0
2021-03-02,26.0
2021-03-03,25.0
2021-03-04,26.0
2021-03-05,31.0
2021-03-06,20.0
2021-03-07,30.0
2021-03-08,24.0
2021-03-09,25.0
2021-03-10,23.0
2021-03-11,20.0
2021-03-12,20.0
2021-03-13,17.0
2021-03-14,22.0
2021-03-15,18.0
2021-03-16,19.0
2021-03-17,24.0
2021-03-18,24.0
2021-03-19,24.0
2021-03-20,20.0
2021-03-21,23.0
2021-03-22,22.0
2021-03-23,18.0
2021-03-24,14.0
2021-03-25,19.0
2021-03-26,19.0
2021-03-27,28.0
2021-03-28,27.0
2021-03-29,17.0
2021-03-30,13.0
2021-03-31,16.0
2021-04-01,14.0
2021-04-02,22.0
2021-04-03,17.0
2021-04-04,19.0
2021-04-05,20.0
2021-04-06,23.0
2021-04-07,15.0
2021-04-08,13.0
2021-04-09,16.0
2021-04-10,14.0
2021-04-11,25.0
2021-04-12,16.0
2021-04-13,12.0
2021-04-14,17.0
2021-04-15,20.0
2021-04-16,15.0
2021-04-17,13.0
2021-04-18,22.0
2021-04-19,21.0
2021-04-20,10.0
2021-04-21,14.0
2021-04-22,15.0
2021-04-23,15.0
2021-04-24,9.0
2021-04-25,17.0
2021-04-26,17.0
2021-04-27,6.0
2021-04-28,10.0
2021-04-29,7.0
2021-04-30,19.0
2021-05-01,23.0
2021-05-02,16.0
2021-05-03,9.0
2021-05-04,12.0
2021-05-05,9.0
2021-05-06,10.0
2021-05-07,10.0
2021-05-08,11.0
2021-05-09,10.0
2021-05-10,8.0
2021-05-11,9.0
2021-05-12,10.0
2021-05-13,13.0
2021-05-14,17.0
2021-05-15,11.0
2021-05-16,12.0
2021-05-17,10.0
2021-05-18,13.0
2021-05-19,10.0
2021-05-20,14.0
2021-05-21,13.0
2021-05-22,10.0
2021-05-23,13.0
2021-05-24,15.0
2021-05-25,15.0
2021-05-26,15.0
2021-05-27,11.0
2021-05-28,8.0
2021-05-29,7.0
2021-05-30,11.0
2021-05-31,15.0
2021-06-01,12.0
2021-06-02,12.0
2021-06-03,10.0
2021-06-04,10.0
2021-06-05,0.0
2021-06-06,13.0
2021-06-07,10.0
2021-06-08,13.0
2021-06-09,8.0
2021-06-10,13.0
2021-06-11,7.0
2021-06-12,7.0
2021-06-13,11.0
2021-06-14,16.0
2021-06-15,9.0
2021-06-16,8.0
2021-06-17,9.0
2021-06-18,10.0
2021-06-19,12.0
2021-06-20,9.0
2021-06-21,9.0
